NSW Recorded Crime Statistics April 2015-March 2020,,,,,,,,,
"Incidents of crime recorded by the NSW Police Force by Local Government Area: number, rates^ and trends^^",,,,,,,,,
,,,,,,,,,
Local Government Area,Offence type,Apr 2015 - Mar 2016,Apr 2016 - Mar 2017,Apr 2017 - Mar 2018,Apr 2018 - Mar 2019,Apr 2019 - Mar 2020,"Rate per 100,000 population Apr 2019 - Mar 2020",2 year trend and annual percent change (Apr 2018-Mar 2020),5 year trend and average annual percent change (Apr 2015-Mar 2020)
Walcha,Breach bail conditions,32,26,35,39,68,2171.1,Stable,Stable
Walcha,Fail to appear,1,0,0,0,0,nc,nc,nc
Walcha,Resist or hinder officer,3,6,4,3,0,nc,nc,nc
Walcha,Other offences against justice procedures,0,0,0,0,0,nc,nc,nc
Walcha,Transport regulatory offences,1,0,1,0,0,nc,nc,nc
Walcha,Other offences,10,8,15,10,5,159.6,nc,nc
Walgett,Murder *,0,1,1,0,1,16.5,nc,nc
Walgett,Attempted murder,0,0,0,0,0,nc,nc,nc
Walgett,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Walgett,Manslaughter *,0,0,0,0,0,nc,nc,nc
Murray River,Domestic violence related assault,21,30,14,26,32,264.1,Stable,nc
Walgett,Non-domestic violence related assault,108,78,97,69,77,1272.5,Stable,Down 8.1%
Walgett,Assault Police,15,5,15,9,4,66.1,nc,nc
Walgett,Sexual assault,16,20,8,8,14,231.4,nc,nc
Walgett,"Indecent assault, act of indecency and other sexual offences",21,7,11,24,13,214.8,nc,nc
Walgett,Abduction and kidnapping,0,1,0,1,1,16.5,nc,nc
Walgett,Robbery without a weapon,1,0,0,0,1,16.5,nc,nc
Walgett,Robbery with a firearm,0,0,0,0,0,nc,nc,nc
Walgett,Robbery with a weapon not a firearm,1,0,0,0,0,nc,nc,nc
Walgett,Blackmail and extortion,0,0,0,0,0,nc,nc,nc
Walgett,"Intimidation, stalking and harassment",113,104,162,139,104,1718.7,Stable,Stable
Walgett,Other offences against the person,2,2,1,3,1,16.5,nc,nc
Walgett,Break and enter dwelling,113,71,104,83,76,1256,Stable,Stable
Walgett,Break and enter non-dwelling,45,49,30,40,25,413.2,Down 37.5%,Down 13.7%
Walgett,Receiving or handling stolen goods,4,11,7,14,5,82.6,nc,nc
Walgett,Motor vehicle theft,19,17,22,19,16,264.4,nc,nc
Walgett,Steal from motor vehicle,37,46,59,38,29,479.3,Stable,Stable
Walgett,Steal from retail store,39,23,19,30,23,380.1,Stable,nc
Walgett,Steal from dwelling,52,42,48,29,28,462.7,Stable,Down 14.3%
Walgett,Steal from person,4,1,1,0,2,33.1,nc,nc
Walgett,Stock theft,7,2,9,4,7,115.7,nc,nc
Walgett,Fraud,26,22,30,36,27,446.2,Stable,Stable
Walgett,Other theft,79,57,51,33,32,528.8,Stable,Down 20.2%
Walgett,Arson,27,20,27,18,14,231.4,nc,nc
Walgett,Malicious damage to property,256,219,223,151,160,2644.2,Stable,Down 11.1%
Walgett,Possession and/or use of cocaine,0,0,0,2,1,16.5,nc,nc
Walgett,Possession and/or use of narcotics,0,1,0,0,0,nc,nc,nc
Walgett,Possession and/or use of cannabis,33,35,48,42,47,776.7,Stable,Stable
Walgett,Possession and/or use of amphetamines,8,3,4,6,13,214.8,nc,nc
Walgett,Possession and/or use of ecstasy,0,0,2,0,1,16.5,nc,nc
Walgett,Possession and/or use of other drugs,7,13,13,2,2,33.1,nc,nc
Walgett,"Dealing, trafficking in cocaine",0,0,0,0,0,nc,nc,nc
Walgett,"Dealing, trafficking in narcotics",0,1,0,0,0,nc,nc,nc
Walgett,"Dealing, trafficking in cannabis",1,0,2,3,4,66.1,nc,nc
Walgett,"Dealing, trafficking in amphetamines",5,2,7,3,2,33.1,nc,nc
Walgett,"Dealing, trafficking in ecstasy",0,0,0,0,3,49.6,nc,nc
Walgett,"Dealing, trafficking in other drugs",0,0,1,1,0,nc,nc,nc
Walgett,Cultivating cannabis,3,1,1,4,2,33.1,nc,nc
Walgett,Manufacture drug,0,0,0,0,0,nc,nc,nc
Walgett,Importing drugs,0,0,0,0,0,nc,nc,nc
Walgett,Other drug offences,9,13,5,11,4,66.1,nc,nc
Walgett,Prohibited and regulated weapons offences,36,42,43,42,41,677.6,Stable,Stable
Walgett,Trespass,80,56,55,43,48,793.3,Stable,Stable
Walgett,Offensive conduct,21,17,28,11,8,132.2,nc,nc
Walgett,Offensive language,27,17,15,6,7,115.7,nc,nc
Walgett,Criminal intent,10,8,25,26,16,264.4,nc,nc
Walgett,Betting and gaming offences,0,1,0,0,0,nc,nc,nc
Walgett,Liquor offences,22,14,31,16,7,115.7,nc,nc
Walgett,Pornography offences,0,0,0,1,0,nc,nc,nc
Walgett,Prostitution offences,0,0,0,0,0,nc,nc,nc
Walgett,Escape custody,2,0,2,1,3,49.6,nc,nc
Walgett,Breach Apprehended Violence Order,79,57,113,106,119,1966.6,Stable,Up 10.8%
Walgett,Breach bail conditions,151,150,255,223,191,3156.5,Stable,Up 6.1%
Walgett,Fail to appear,2,2,0,0,0,nc,nc,nc
Walgett,Resist or hinder officer,22,16,42,18,20,330.5,nc,nc
Walgett,Other offences against justice procedures,0,2,1,2,2,33.1,nc,nc
Walgett,Transport regulatory offences,0,0,0,0,0,nc,nc,nc
Walgett,Other offences,60,34,67,40,23,380.1,Down 42.5%,Down 21.3%
Warren,Murder *,0,0,0,0,0,nc,nc,nc
Warren,Attempted murder,0,0,0,0,0,nc,nc,nc
Warren,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Warren,Manslaughter *,0,0,0,0,0,nc,nc,nc
Coolamon,Domestic violence related assault,9,16,13,11,10,228.9,nc,nc
Warren,Non-domestic violence related assault,26,32,24,23,25,nc,Stable,Stable
Warren,Assault Police,0,1,1,3,1,nc,nc,nc
Warren,Sexual assault,0,29,6,2,6,nc,nc,nc
Warren,"Indecent assault, act of indecency and other sexual offences",1,12,4,4,3,nc,nc,nc
Warren,Abduction and kidnapping,0,0,0,0,0,nc,nc,nc
Warren,Robbery without a weapon,0,0,0,1,1,nc,nc,nc
Warren,Robbery with a firearm,0,0,0,0,0,nc,nc,nc
Warren,Robbery with a weapon not a firearm,0,0,0,0,1,nc,nc,nc
Warren,Blackmail and extortion,0,0,0,0,0,nc,nc,nc
Warren,"Intimidation, stalking and harassment",29,21,23,39,28,nc,Stable,Stable
Warren,Other offences against the person,0,0,1,0,1,nc,nc,nc
Warren,Break and enter dwelling,27,32,19,21,19,nc,nc,nc
Warren,Break and enter non-dwelling,6,8,10,16,12,nc,nc,nc
Warren,Receiving or handling stolen goods,1,2,2,2,0,nc,nc,nc
Warren,Motor vehicle theft,9,14,5,11,8,nc,nc,nc
Warren,Steal from motor vehicle,33,25,20,17,28,nc,nc,nc
Warren,Steal from retail store,3,6,5,8,5,nc,nc,nc
Warren,Steal from dwelling,11,14,12,19,23,nc,nc,nc
Warren,Steal from person,0,0,3,4,0,nc,nc,nc
Warren,Stock theft,1,5,10,5,8,nc,nc,nc
Warren,Fraud,14,8,8,9,14,nc,nc,nc
Warren,Other theft,16,16,10,23,18,nc,nc,nc
Warren,Arson,6,7,3,7,3,nc,nc,nc
Warren,Malicious damage to property,56,47,71,62,45,nc,Stable,Stable
Warren,Possession and/or use of cocaine,0,0,0,0,0,nc,nc,nc
Warren,Possession and/or use of narcotics,0,0,0,0,1,nc,nc,nc
Warren,Possession and/or use of cannabis,7,7,8,5,5,nc,nc,nc
Warren,Possession and/or use of amphetamines,1,4,0,5,6,nc,nc,nc
Warren,Possession and/or use of ecstasy,0,0,0,0,0,nc,nc,nc
Warren,Possession and/or use of other drugs,0,2,2,1,0,nc,nc,nc
Warren,"Dealing, trafficking in cocaine",0,0,0,0,0,nc,nc,nc
Warren,"Dealing, trafficking in narcotics",0,0,0,0,0,nc,nc,nc
Warren,"Dealing, trafficking in cannabis",0,0,0,1,0,nc,nc,nc
Warren,"Dealing, trafficking in amphetamines",0,0,0,0,0,nc,nc,nc
Warren,"Dealing, trafficking in ecstasy",0,0,0,0,0,nc,nc,nc
Warren,"Dealing, trafficking in other drugs",0,0,0,0,0,nc,nc,nc
Warren,Cultivating cannabis,0,0,2,0,1,nc,nc,nc
Warren,Manufacture drug,0,0,0,0,0,nc,nc,nc
Warren,Importing drugs,0,0,0,0,0,nc,nc,nc
Warren,Other drug offences,3,3,2,2,0,nc,nc,nc
Warren,Prohibited and regulated weapons offences,11,14,8,11,17,nc,nc,nc
Warren,Trespass,19,15,15,14,22,nc,nc,nc
Warren,Offensive conduct,18,9,10,1,0,nc,nc,nc
Warren,Offensive language,6,1,0,1,0,nc,nc,nc
Warren,Criminal intent,5,6,3,5,2,nc,nc,nc
Warren,Betting and gaming offences,2,0,1,0,0,nc,nc,nc
Warren,Liquor offences,4,7,21,8,2,nc,nc,nc
Warren,Pornography offences,0,0,1,2,1,nc,nc,nc
Warren,Prostitution offences,0,0,0,0,0,nc,nc,nc
Warren,Escape custody,0,0,1,0,0,nc,nc,nc
Warren,Breach Apprehended Violence Order,18,13,12,24,33,nc,Stable,nc
Warren,Breach bail conditions,22,15,18,34,59,nc,Up 73.5%,nc
Warren,Fail to appear,0,0,0,0,0,nc,nc,nc
Warren,Resist or hinder officer,10,4,3,4,6,nc,nc,nc
Warren,Other offences against justice procedures,0,0,0,0,0,nc,nc,nc
Warren,Transport regulatory offences,0,0,0,0,0,nc,nc,nc
Warren,Other offences,11,8,9,5,14,nc,nc,nc
Warrumbungle Shire,Murder *,0,1,0,0,0,nc,nc,nc
Warrumbungle Shire,Attempted murder,0,2,0,1,0,nc,nc,nc
Warrumbungle Shire,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Warrumbungle Shire,Manslaughter *,0,0,0,0,0,nc,nc,nc
Berrigan,Domestic violence related assault,22,14,16,19,15,172.3,nc,nc
Warrumbungle Shire,Non-domestic violence related assault,51,39,38,47,39,414.9,Stable,Stable
Warrumbungle Shire,Assault Police,6,3,2,4,4,42.6,nc,nc
Warrumbungle Shire,Sexual assault,13,22,16,15,15,159.6,nc,nc
Warrumbungle Shire,"Indecent assault, act of indecency and other sexual offences",10,31,22,10,17,180.9,nc,nc
Warrumbungle Shire,Abduction and kidnapping,1,0,0,0,0,nc,nc,nc
Warrumbungle Shire,Robbery without a weapon,1,0,0,0,1,10.6,nc,nc
Warrumbungle Shire,Robbery with a firearm,0,1,0,0,0,nc,nc,nc
Warrumbungle Shire,Robbery with a weapon not a firearm,0,1,0,0,1,10.6,nc,nc
Warrumbungle Shire,Blackmail and extortion,0,0,0,0,0,nc,nc,nc
Warrumbungle Shire,"Intimidation, stalking and harassment",84,76,55,69,75,798,Stable,Stable
Warrumbungle Shire,Other offences against the person,3,3,3,0,3,31.9,nc,nc
Warrumbungle Shire,Break and enter dwelling,28,46,35,45,46,489.4,Stable,Stable
Warrumbungle Shire,Break and enter non-dwelling,28,30,18,16,20,212.8,nc,nc
Warrumbungle Shire,Receiving or handling stolen goods,13,10,12,11,11,117,nc,nc
Warrumbungle Shire,Motor vehicle theft,17,14,12,11,13,138.3,nc,nc
Warrumbungle Shire,Steal from motor vehicle,48,44,23,26,26,276.6,Stable,Down 14.2%
Warrumbungle Shire,Steal from retail store,7,18,15,17,22,234.1,nc,nc
Warrumbungle Shire,Steal from dwelling,42,34,33,38,37,393.7,Stable,Stable
Warrumbungle Shire,Steal from person,2,2,2,2,1,10.6,nc,nc
Warrumbungle Shire,Stock theft,11,13,12,7,7,74.5,nc,nc
Warrumbungle Shire,Fraud,24,31,35,43,41,436.2,Stable,Stable
Warrumbungle Shire,Other theft,39,28,32,32,46,489.4,Stable,Stable
Warrumbungle Shire,Arson,5,7,8,16,7,74.5,nc,nc
Warrumbungle Shire,Malicious damage to property,113,111,93,90,120,1276.7,Stable,Stable
Warrumbungle Shire,Possession and/or use of cocaine,1,2,0,0,2,21.3,nc,nc
Warrumbungle Shire,Possession and/or use of narcotics,1,0,3,0,0,nc,nc,nc
Warrumbungle Shire,Possession and/or use of cannabis,53,38,62,75,48,510.7,Down 36.0%,Stable
Warrumbungle Shire,Possession and/or use of amphetamines,9,13,15,19,25,266,nc,nc
Warrumbungle Shire,Possession and/or use of ecstasy,0,2,3,2,3,31.9,nc,nc
Warrumbungle Shire,Possession and/or use of other drugs,3,5,2,5,12,127.7,nc,nc
Warrumbungle Shire,"Dealing, trafficking in cocaine",1,1,0,1,0,nc,nc,nc
Warrumbungle Shire,"Dealing, trafficking in narcotics",0,0,0,0,0,nc,nc,nc
Warrumbungle Shire,"Dealing, trafficking in cannabis",1,3,3,18,17,180.9,nc,nc
Warrumbungle Shire,"Dealing, trafficking in amphetamines",2,2,4,1,2,21.3,nc,nc
Warrumbungle Shire,"Dealing, trafficking in ecstasy",0,2,1,1,0,nc,nc,nc
Warrumbungle Shire,"Dealing, trafficking in other drugs",0,0,2,0,1,10.6,nc,nc
Warrumbungle Shire,Cultivating cannabis,5,5,6,14,4,42.6,nc,nc
Warrumbungle Shire,Manufacture drug,0,0,0,0,0,nc,nc,nc
Warrumbungle Shire,Importing drugs,0,0,0,0,0,nc,nc,nc
Warrumbungle Shire,Other drug offences,15,11,6,2,3,31.9,nc,nc
Warrumbungle Shire,Prohibited and regulated weapons offences,36,30,47,58,70,744.8,Stable,Up 18.1%
Warrumbungle Shire,Trespass,69,50,18,42,37,393.7,Stable,nc
Warrumbungle Shire,Offensive conduct,5,13,19,4,8,85.1,nc,nc
Warrumbungle Shire,Offensive language,7,6,8,9,11,117,nc,nc
Warrumbungle Shire,Criminal intent,2,3,2,2,5,53.2,nc,nc
Warrumbungle Shire,Betting and gaming offences,0,0,0,1,0,nc,nc,nc
Warrumbungle Shire,Liquor offences,23,23,20,19,12,127.7,nc,nc
Warrumbungle Shire,Pornography offences,0,1,5,2,0,nc,nc,nc
Warrumbungle Shire,Prostitution offences,0,0,0,0,0,nc,nc,nc
Warrumbungle Shire,Escape custody,1,0,0,0,0,nc,nc,nc
Warrumbungle Shire,Breach Apprehended Violence Order,20,35,45,50,49,521.3,Stable,Up 25.1%
Warrumbungle Shire,Breach bail conditions,41,17,21,36,63,670.3,Stable,nc
Warrumbungle Shire,Fail to appear,0,2,0,1,2,21.3,nc,nc
Warrumbungle Shire,Resist or hinder officer,7,6,14,8,16,170.2,nc,nc
Warrumbungle Shire,Other offences against justice procedures,1,0,1,1,3,31.9,nc,nc
Warrumbungle Shire,Transport regulatory offences,0,0,0,0,1,10.6,nc,nc
Warrumbungle Shire,Other offences,39,33,34,34,55,585.2,Stable,Stable
Waverley,Murder *,0,0,0,2,0,nc,nc,nc
Waverley,Attempted murder,0,0,0,0,0,nc,nc,nc
Waverley,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Waverley,Manslaughter *,0,0,0,0,0,nc,nc,nc
Hunters Hill,Domestic violence related assault,16,14,25,18,23,154.3,nc,nc
Waverley,Non-domestic violence related assault,335,366,324,299,270,364.3,Stable,Stable
Waverley,Assault Police,36,34,25,32,31,41.8,Stable,Stable
Waverley,Sexual assault,30,35,52,36,65,87.7,Up 80.6%,Up 21.3%
Waverley,"Indecent assault, act of indecency and other sexual offences",46,48,53,69,71,95.8,Stable,Up 11.5%
Waverley,Abduction and kidnapping,1,1,1,1,1,1.3,nc,nc
Waverley,Robbery without a weapon,9,9,12,9,14,18.9,nc,nc
Waverley,Robbery with a firearm,0,3,2,0,0,nc,nc,nc
Waverley,Robbery with a weapon not a firearm,3,0,2,2,6,8.1,nc,nc
Waverley,Blackmail and extortion,1,1,2,0,0,nc,nc,nc
Waverley,"Intimidation, stalking and harassment",203,196,199,186,230,310.3,Up 23.7%,Stable
Waverley,Other offences against the person,16,10,2,10,8,10.8,nc,nc
Waverley,Break and enter dwelling,162,193,117,110,113,152.5,Stable,Down 8.6%
Waverley,Break and enter non-dwelling,36,51,18,39,28,37.8,Stable,nc
Waverley,Receiving or handling stolen goods,147,121,122,151,258,348.1,Up 70.9%,Up 15.1%
Waverley,Motor vehicle theft,109,106,102,90,89,120.1,Stable,Stable
Waverley,Steal from motor vehicle,230,246,202,214,168,226.7,Down 21.5%,Down 7.6%
Waverley,Steal from retail store,605,650,583,588,648,874.3,Stable,Stable
Waverley,Steal from dwelling,195,255,178,162,199,268.5,Stable,Stable
Waverley,Steal from person,102,48,51,51,44,59.4,Stable,Down 19.0%
Waverley,Stock theft,2,0,0,0,0,nc,nc,nc
Waverley,Fraud,591,515,569,570,529,713.8,Stable,Stable
Waverley,Other theft,524,497,414,398,358,483,Stable,Down 9.1%
Waverley,Arson,6,5,16,8,11,14.8,nc,nc
Waverley,Malicious damage to property,516,497,466,426,391,527.6,Stable,Down 6.7%
Waverley,Possession and/or use of cocaine,51,80,149,133,202,272.6,Up 51.9%,Up 41.1%
Waverley,Possession and/or use of narcotics,8,5,4,7,6,8.1,nc,nc
Waverley,Possession and/or use of cannabis,365,379,329,316,240,323.8,Down 24.1%,Down 10.0%
Waverley,Possession and/or use of amphetamines,47,59,41,31,41,55.3,Stable,Stable
Waverley,Possession and/or use of ecstasy,24,54,33,22,23,31,Stable,Stable
Waverley,Possession and/or use of other drugs,46,68,90,97,72,97.1,Stable,Up 11.9%
Waverley,"Dealing, trafficking in cocaine",25,33,27,53,120,161.9,Up 126.4%,Up 48.0%
Waverley,"Dealing, trafficking in narcotics",2,0,1,28,0,nc,nc,nc
Waverley,"Dealing, trafficking in cannabis",18,7,7,11,11,14.8,nc,nc
Waverley,"Dealing, trafficking in amphetamines",8,8,7,4,4,5.4,nc,nc
Waverley,"Dealing, trafficking in ecstasy",10,21,8,15,8,10.8,nc,nc
Waverley,"Dealing, trafficking in other drugs",5,4,15,13,5,6.7,nc,nc
Waverley,Cultivating cannabis,0,1,1,2,1,1.3,nc,nc
Waverley,Manufacture drug,0,0,0,0,0,nc,nc,nc
Waverley,Importing drugs,0,0,2,4,4,5.4,nc,nc
Waverley,Other drug offences,56,65,61,56,50,67.5,Stable,Stable
Waverley,Prohibited and regulated weapons offences,61,83,79,65,97,130.9,Up 49.2%,Stable
Waverley,Trespass,110,107,109,83,105,141.7,Stable,Stable
Waverley,Offensive conduct,123,100,96,88,94,126.8,Stable,Stable
Waverley,Offensive language,111,85,39,28,33,44.5,Stable,Down 26.2%
Waverley,Criminal intent,30,25,24,28,24,32.4,Stable,Stable
Waverley,Betting and gaming offences,0,6,0,0,0,nc,nc,nc
Waverley,Liquor offences,241,230,178,160,230,310.3,Up 43.8%,Stable
Waverley,Pornography offences,0,8,2,6,4,5.4,nc,nc
Waverley,Prostitution offences,0,0,0,0,0,nc,nc,nc
Waverley,Escape custody,5,4,0,3,3,4,nc,nc
Waverley,Breach Apprehended Violence Order,79,90,72,70,93,125.5,Stable,Stable
Waverley,Breach bail conditions,330,410,350,297,454,612.6,Up 52.9%,Stable
Waverley,Fail to appear,3,4,3,3,21,28.3,nc,nc
Waverley,Resist or hinder officer,124,101,96,91,74,99.8,Stable,Down 12.1%
Waverley,Other offences against justice procedures,3,2,1,1,5,6.7,nc,nc
Waverley,Transport regulatory offences,395,194,245,349,268,361.6,Stable,Stable
Waverley,Other offences,95,102,78,108,114,153.8,Stable,Stable
Weddin,Murder *,0,0,0,0,0,nc,nc,nc
Weddin,Attempted murder,0,0,0,0,0,nc,nc,nc
Weddin,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Weddin,Manslaughter *,0,0,0,0,0,nc,nc,nc
Kiama,Domestic violence related assault,33,26,35,37,18,78.2,nc,nc
Weddin,Non-domestic violence related assault,4,6,10,9,3,82.5,nc,nc
Weddin,Assault Police,0,0,0,0,0,nc,nc,nc
Weddin,Sexual assault,5,2,2,0,2,55,nc,nc
Weddin,"Indecent assault, act of indecency and other sexual offences",9,5,2,3,4,110,nc,nc
Weddin,Abduction and kidnapping,0,0,0,0,0,nc,nc,nc
Weddin,Robbery without a weapon,0,0,0,0,0,nc,nc,nc
Weddin,Robbery with a firearm,0,0,0,0,0,nc,nc,nc
Weddin,Robbery with a weapon not a firearm,0,0,0,0,0,nc,nc,nc
Weddin,Blackmail and extortion,0,0,0,0,0,nc,nc,nc
Weddin,"Intimidation, stalking and harassment",21,12,11,17,30,825.1,nc,nc
Weddin,Other offences against the person,1,2,0,0,0,nc,nc,nc
Weddin,Break and enter dwelling,14,5,5,8,1,27.5,nc,nc
Weddin,Break and enter non-dwelling,9,9,3,2,3,82.5,nc,nc
Weddin,Receiving or handling stolen goods,0,0,0,1,0,nc,nc,nc
Weddin,Motor vehicle theft,7,2,4,3,6,165,nc,nc
Weddin,Steal from motor vehicle,12,4,5,7,7,192.5,nc,nc
Weddin,Steal from retail store,1,1,3,6,5,137.5,nc,nc
Weddin,Steal from dwelling,9,11,12,7,3,82.5,nc,nc
Weddin,Steal from person,0,0,1,0,0,nc,nc,nc
Weddin,Stock theft,2,0,1,6,0,nc,nc,nc
Weddin,Fraud,9,7,12,11,4,110,nc,nc
Weddin,Other theft,11,8,6,5,3,82.5,nc,nc
Weddin,Arson,1,1,0,0,3,82.5,nc,nc
Weddin,Malicious damage to property,23,32,39,17,13,357.5,nc,nc
Weddin,Possession and/or use of cocaine,0,0,0,0,0,nc,nc,nc
Weddin,Possession and/or use of narcotics,0,0,0,0,0,nc,nc,nc
Weddin,Possession and/or use of cannabis,12,2,4,1,1,27.5,nc,nc
Weddin,Possession and/or use of amphetamines,3,0,0,0,0,nc,nc,nc
Weddin,Possession and/or use of ecstasy,0,0,0,0,0,nc,nc,nc
Weddin,Possession and/or use of other drugs,0,0,0,0,1,27.5,nc,nc
Weddin,"Dealing, trafficking in cocaine",0,0,0,0,0,nc,nc,nc
Weddin,"Dealing, trafficking in narcotics",0,0,0,0,0,nc,nc,nc
Weddin,"Dealing, trafficking in cannabis",0,0,0,0,0,nc,nc,nc
Weddin,"Dealing, trafficking in amphetamines",0,0,0,0,0,nc,nc,nc
Weddin,"Dealing, trafficking in ecstasy",0,0,0,0,0,nc,nc,nc
Weddin,"Dealing, trafficking in other drugs",0,0,0,0,0,nc,nc,nc
Weddin,Cultivating cannabis,0,1,1,1,4,110,nc,nc
Weddin,Manufacture drug,0,0,0,0,0,nc,nc,nc
Weddin,Importing drugs,0,0,0,0,0,nc,nc,nc
Weddin,Other drug offences,1,0,1,0,2,55,nc,nc
Weddin,Prohibited and regulated weapons offences,11,5,12,10,9,247.5,nc,nc
Weddin,Trespass,9,10,5,6,6,165,nc,nc
Weddin,Offensive conduct,1,2,0,2,1,27.5,nc,nc
Weddin,Offensive language,0,0,1,0,0,nc,nc,nc
Weddin,Criminal intent,0,0,0,0,1,27.5,nc,nc
Weddin,Betting and gaming offences,0,0,0,0,0,nc,nc,nc
Weddin,Liquor offences,5,5,4,9,5,137.5,nc,nc
Weddin,Pornography offences,0,1,0,0,0,nc,nc,nc
Weddin,Prostitution offences,0,0,0,0,0,nc,nc,nc
Weddin,Escape custody,0,0,0,0,0,nc,nc,nc
Weddin,Breach Apprehended Violence Order,7,6,11,5,24,660.1,nc,nc
Weddin,Breach bail conditions,2,1,3,4,8,220,nc,nc
Weddin,Fail to appear,0,0,0,0,0,nc,nc,nc
Weddin,Resist or hinder officer,0,0,1,1,0,nc,nc,nc
Weddin,Other offences against justice procedures,0,0,0,0,1,27.5,nc,nc
Weddin,Transport regulatory offences,0,0,0,0,0,nc,nc,nc
Weddin,Other offences,6,2,9,3,2,55,nc,nc
Wentworth,Murder *,0,0,1,2,0,nc,nc,nc
Wentworth,Attempted murder,0,0,0,0,0,nc,nc,nc
Wentworth,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Wentworth,Manslaughter *,0,0,0,0,0,nc,nc,nc
Upper Lachlan Shire,Domestic violence related assault,20,14,8,10,4,50.2,nc,nc
Wentworth,Non-domestic violence related assault,39,37,69,44,41,582.2,Stable,Stable
Wentworth,Assault Police,5,7,4,2,3,42.6,nc,nc
Wentworth,Sexual assault,8,12,9,11,10,142,nc,nc
Wentworth,"Indecent assault, act of indecency and other sexual offences",10,10,7,17,8,113.6,nc,nc
Wentworth,Abduction and kidnapping,1,0,0,3,0,nc,nc,nc
Wentworth,Robbery without a weapon,0,2,3,2,0,nc,nc,nc
Wentworth,Robbery with a firearm,0,0,0,0,0,nc,nc,nc
Wentworth,Robbery with a weapon not a firearm,0,0,0,1,0,nc,nc,nc
Wentworth,Blackmail and extortion,0,0,0,0,0,nc,nc,nc
Wentworth,"Intimidation, stalking and harassment",28,24,51,35,56,795.2,Stable,Up 18.9%
Wentworth,Other offences against the person,1,1,0,2,2,28.4,nc,nc
Wentworth,Break and enter dwelling,47,41,49,40,42,596.4,Stable,Stable
Wentworth,Break and enter non-dwelling,36,33,29,18,39,553.8,nc,nc
Wentworth,Receiving or handling stolen goods,11,6,8,7,1,14.2,nc,nc
Wentworth,Motor vehicle theft,16,20,24,23,42,596.4,Stable,nc
Wentworth,Steal from motor vehicle,48,44,51,23,31,440.2,Up 34.8%,Down 10.4%
Wentworth,Steal from retail store,9,4,9,4,4,56.8,nc,nc
Wentworth,Steal from dwelling,31,36,27,21,30,426,Stable,Stable
Wentworth,Steal from person,0,1,2,2,0,nc,nc,nc
Wentworth,Stock theft,1,1,3,1,1,14.2,nc,nc
Wentworth,Fraud,16,22,13,21,34,482.8,Stable,nc
Wentworth,Other theft,35,37,40,38,40,568,Stable,Stable
Wentworth,Arson,22,32,22,13,37,525.4,nc,nc
Wentworth,Malicious damage to property,82,90,123,69,118,1675.7,Up 71.0%,Stable
Wentworth,Possession and/or use of cocaine,0,0,3,0,0,nc,nc,nc
Wentworth,Possession and/or use of narcotics,0,0,0,0,0,nc,nc,nc
Wentworth,Possession and/or use of cannabis,48,30,35,26,13,184.6,nc,nc
Wentworth,Possession and/or use of amphetamines,6,7,11,9,6,85.2,nc,nc
Wentworth,Possession and/or use of ecstasy,0,1,1,0,0,nc,nc,nc
Wentworth,Possession and/or use of other drugs,3,4,4,8,2,28.4,nc,nc
Wentworth,"Dealing, trafficking in cocaine",0,0,0,0,0,nc,nc,nc
Wentworth,"Dealing, trafficking in narcotics",0,0,0,0,0,nc,nc,nc
Wentworth,"Dealing, trafficking in cannabis",1,1,1,1,0,nc,nc,nc
Wentworth,"Dealing, trafficking in amphetamines",2,3,0,1,1,14.2,nc,nc
Wentworth,"Dealing, trafficking in ecstasy",0,1,0,0,0,nc,nc,nc
Wentworth,"Dealing, trafficking in other drugs",0,0,0,0,0,nc,nc,nc
Wentworth,Cultivating cannabis,3,2,1,2,2,28.4,nc,nc
Wentworth,Manufacture drug,0,0,0,0,0,nc,nc,nc
Wentworth,Importing drugs,0,0,0,0,0,nc,nc,nc
Wentworth,Other drug offences,3,10,7,11,3,42.6,nc,nc
Wentworth,Prohibited and regulated weapons offences,23,41,42,27,41,582.2,Stable,Stable
Wentworth,Trespass,24,25,22,14,26,369.2,nc,nc
Wentworth,Offensive conduct,9,8,13,3,6,85.2,nc,nc
Wentworth,Offensive language,20,5,10,3,2,28.4,nc,nc
Wentworth,Criminal intent,3,2,1,1,1,14.2,nc,nc
Wentworth,Betting and gaming offences,0,0,0,0,0,nc,nc,nc
Wentworth,Liquor offences,8,7,6,5,5,71,nc,nc
Wentworth,Pornography offences,0,0,1,1,1,14.2,nc,nc
Wentworth,Prostitution offences,0,0,0,0,0,nc,nc,nc
Wentworth,Escape custody,0,0,0,0,1,14.2,nc,nc
Wentworth,Breach Apprehended Violence Order,24,23,39,37,57,809.4,Up 54.1%,Up 24.1%
Wentworth,Breach bail conditions,85,25,39,49,56,795.2,Stable,Stable
Wentworth,Fail to appear,0,0,3,1,1,14.2,nc,nc
Wentworth,Resist or hinder officer,11,9,13,7,10,142,nc,nc
Wentworth,Other offences against justice procedures,0,1,2,5,6,85.2,nc,nc
