NSW Recorded Crime Statistics April 2015-March 2020,,,,,,,,,
"Incidents of crime recorded by the NSW Police Force by Local Government Area: number, rates^ and trends^^",,,,,,,,,
,,,,,,,,,
Local Government Area,Offence type,Apr 2015 - Mar 2016,Apr 2016 - Mar 2017,Apr 2017 - Mar 2018,Apr 2018 - Mar 2019,Apr 2019 - Mar 2020,"Rate per 100,000 population Apr 2019 - Mar 2020",2 year trend and annual percent change (Apr 2018-Mar 2020),5 year trend and average annual percent change (Apr 2015-Mar 2020)
Balranald,Abduction and kidnapping,0,0,0,0,0,nc,nc,nc
Balranald,Robbery without a weapon,0,0,0,0,0,nc,nc,nc
Balranald,Robbery with a firearm,0,0,0,0,0,nc,nc,nc
Balranald,Robbery with a weapon not a firearm,0,0,0,0,0,nc,nc,nc
Balranald,Blackmail and extortion,0,0,0,0,1,nc,nc,nc
Balranald,"Intimidation, stalking and harassment",26,18,6,9,10,nc,nc,nc
Balranald,Other offences against the person,0,0,0,0,0,nc,nc,nc
Balranald,Break and enter dwelling,13,3,10,10,8,nc,nc,nc
Balranald,Break and enter non-dwelling,10,10,6,9,5,nc,nc,nc
Balranald,Receiving or handling stolen goods,2,3,3,1,1,nc,nc,nc
Balranald,Motor vehicle theft,7,1,3,1,5,nc,nc,nc
Balranald,Steal from motor vehicle,8,7,7,9,6,nc,nc,nc
Balranald,Steal from retail store,1,2,0,0,0,nc,nc,nc
Balranald,Steal from dwelling,22,13,5,8,5,nc,nc,nc
Balranald,Steal from person,0,0,0,0,0,nc,nc,nc
Balranald,Stock theft,1,0,0,1,2,nc,nc,nc
Balranald,Fraud,14,4,5,18,12,nc,nc,nc
Balranald,Other theft,13,13,7,12,10,nc,nc,nc
Balranald,Arson,3,2,3,4,1,nc,nc,nc
Balranald,Malicious damage to property,21,28,28,30,20,nc,Stable,Stable
Balranald,Possession and/or use of cocaine,0,0,0,1,0,nc,nc,nc
Balranald,Possession and/or use of narcotics,2,0,1,0,0,nc,nc,nc
Balranald,Possession and/or use of cannabis,10,11,7,12,11,nc,nc,nc
Balranald,Possession and/or use of amphetamines,3,4,0,4,6,nc,nc,nc
Balranald,Possession and/or use of ecstasy,0,0,0,0,0,nc,nc,nc
Balranald,Possession and/or use of other drugs,1,0,1,0,4,nc,nc,nc
Balranald,"Dealing, trafficking in cocaine",0,0,0,0,0,nc,nc,nc
Balranald,"Dealing, trafficking in narcotics",0,0,0,0,0,nc,nc,nc
Balranald,"Dealing, trafficking in cannabis",1,1,0,0,1,nc,nc,nc
Balranald,"Dealing, trafficking in amphetamines",0,0,0,1,1,nc,nc,nc
Balranald,"Dealing, trafficking in ecstasy",0,0,0,0,0,nc,nc,nc
Balranald,"Dealing, trafficking in other drugs",0,0,1,0,0,nc,nc,nc
Balranald,Cultivating cannabis,1,0,0,2,0,nc,nc,nc
Balranald,Manufacture drug,0,0,0,0,0,nc,nc,nc
Balranald,Importing drugs,0,0,0,0,0,nc,nc,nc
Balranald,Other drug offences,6,1,2,3,6,nc,nc,nc
Balranald,Prohibited and regulated weapons offences,21,13,9,22,23,nc,Stable,nc
Balranald,Trespass,16,13,8,9,3,nc,nc,nc
Balranald,Offensive conduct,6,2,2,0,1,nc,nc,nc
Balranald,Offensive language,2,1,1,1,0,nc,nc,nc
Balranald,Criminal intent,1,0,1,0,3,nc,nc,nc
Balranald,Betting and gaming offences,0,0,0,0,0,nc,nc,nc
Balranald,Liquor offences,29,10,12,4,2,nc,nc,nc
Balranald,Pornography offences,0,0,0,0,0,nc,nc,nc
Balranald,Prostitution offences,0,0,0,0,0,nc,nc,nc
Balranald,Escape custody,0,0,0,0,0,nc,nc,nc
Balranald,Breach Apprehended Violence Order,8,2,3,3,7,nc,nc,nc
Balranald,Breach bail conditions,25,5,2,3,4,nc,nc,nc
Balranald,Fail to appear,0,0,1,0,0,nc,nc,nc
Balranald,Resist or hinder officer,8,2,2,1,0,nc,nc,nc
Balranald,Other offences against justice procedures,2,0,1,0,0,nc,nc,nc
Balranald,Transport regulatory offences,0,0,0,0,0,nc,nc,nc
Balranald,Other offences,17,9,11,8,9,nc,nc,nc
Bathurst Regional,Murder *,2,0,0,0,0,nc,nc,nc
Bathurst Regional,Attempted murder,0,0,0,0,0,nc,nc,nc
Bathurst Regional,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Bathurst Regional,Manslaughter *,0,0,0,1,0,nc,nc,nc
Northern Beaches,Domestic violence related assault,330,323,382,455,446,164.4,Stable,Up 7.8%
Bathurst Regional,Non-domestic violence related assault,203,229,230,271,236,546.2,Stable,Up 3.8%
Bathurst Regional,Assault Police,11,20,29,21,18,41.7,nc,nc
Bathurst Regional,Sexual assault,53,38,57,46,62,143.5,Stable,Stable
Bathurst Regional,"Indecent assault, act of indecency and other sexual offences",45,64,62,59,57,131.9,Stable,Stable
Bathurst Regional,Abduction and kidnapping,4,2,2,7,2,4.6,nc,nc
Bathurst Regional,Robbery without a weapon,9,7,6,9,10,23.1,nc,nc
Bathurst Regional,Robbery with a firearm,1,0,2,0,0,nc,nc,nc
Bathurst Regional,Robbery with a weapon not a firearm,10,3,6,2,9,20.8,nc,nc
Bathurst Regional,Blackmail and extortion,0,0,0,0,2,4.6,nc,nc
