"Population projections by age groups, Local Government Area and year ",,,,,,,,,,,
,,,,,,,,,,,
  ,  ,  ,  , Population, Population, Population, Population, Population, Population, Population, Population
 Sutherland Shire LGA, Persons, 2016 and 2021*, 45-64, , , ,"58,374","60,359", , , 
 Sutherland Shire LGA, Persons, 2016 and 2021*, 65+, , , ,"37,059","42,621", , , 
 Sutherland Shire LGA, Persons, 2016 and 2021*, All ages, , , ,"226,041","236,076", , , 
 Sutherland Shire LGA, Persons, 2016 and 2026*, 0-14, , , ,"43,526", ,"45,979", , 
 Sutherland Shire LGA, Persons, 2016 and 2026*, 15-44, , , ,"87,082", ,"89,033", , 
 Sutherland Shire LGA, Persons, 2016 and 2026*, 45-64, , , ,"58,374", ,"60,524", , 
 Sutherland Shire LGA, Persons, 2016 and 2026*, 65+, , , ,"37,059", ,"48,004", , 
 Sutherland Shire LGA, Persons, 2016 and 2026*, All ages, , , ,"226,041", ,"243,539", , 
 Sutherland Shire LGA, Persons, 2016 and 2031*, 0-14, , , ,"43,526", , ,"46,408", 
 Sutherland Shire LGA, Persons, 2016 and 2031*, 15-44, , , ,"87,082", , ,"90,669", 
 Sutherland Shire LGA, Persons, 2016 and 2031*, 45-64, , , ,"58,374", , ,"62,212", 
 Sutherland Shire LGA, Persons, 2016 and 2031*, 65+, , , ,"37,059", , ,"52,777", 
 Sutherland Shire LGA, Persons, 2016 and 2031*, All ages, , , ,"226,041", , ,"252,066", 
 Sutherland Shire LGA, Persons, 2016 and 2036*, 0-14, , , ,"43,526", , , ,"46,596"
 Sutherland Shire LGA, Persons, 2016 and 2036*, 15-44, , , ,"87,082", , , ,"92,846"
 Sutherland Shire LGA, Persons, 2016 and 2036*, 45-64, , , ,"58,374", , , ,"63,817"
 Sutherland Shire LGA, Persons, 2016 and 2036*, 65+, , , ,"37,059", , , ,"57,155"
 Sutherland Shire LGA, Persons, 2016 and 2036*, All ages, , , ,"226,041", , , ,"260,415"
 Sydney LGA, Persons, 2001 and 2016, 0-14,"11,790", , ,"15,404", , , , 
 Sydney LGA, Persons, 2001 and 2016, 15-44,"79,622", , ,"149,529", , , , 
 Sydney LGA, Persons, 2001 and 2016, 45-64,"25,286", , ,"40,399", , , , 
 Sydney LGA, Persons, 2001 and 2016, 65+,"12,203", , ,"18,879", , , , 
 Sydney LGA, Persons, 2001 and 2016, All ages,"128,901", , ,"224,211", , , , 
 Sydney LGA, Persons, 2006 and 2016, 0-14, ,"11,420", ,"15,404", , , , 
 Sydney LGA, Persons, 2006 and 2016, 15-44, ,"109,074", ,"149,529", , , , 
 Sydney LGA, Persons, 2006 and 2016, 45-64, ,"31,131", ,"40,399", , , , 
 Sydney LGA, Persons, 2006 and 2016, 65+, ,"12,972", ,"18,879", , , , 
 Sydney LGA, Persons, 2006 and 2016, All ages, ,"164,597", ,"224,211", , , , 
 Sydney LGA, Persons, 2011 and 2016, 0-14, , ,"12,715","15,404", , , , 
 Sydney LGA, Persons, 2011 and 2016, 15-44, , ,"121,657","149,529", , , , 
 Sydney LGA, Persons, 2011 and 2016, 45-64, , ,"34,596","40,399", , , , 
 Sydney LGA, Persons, 2011 and 2016, 65+, , ,"14,313","18,879", , , , 
 Sydney LGA, Persons, 2011 and 2016, All ages, , ,"183,281","224,211", , , , 
 Sydney LGA, Persons, 2016 and 2021*, 0-14, , , ,"15,404","21,435", , , 
 Sydney LGA, Persons, 2016 and 2021*, 15-44, , , ,"149,529","151,253", , , 
 Sydney LGA, Persons, 2016 and 2021*, 45-64, , , ,"40,399","48,615", , , 
 Sydney LGA, Persons, 2016 and 2021*, 65+, , , ,"18,879","23,686", , , 
 Sydney LGA, Persons, 2016 and 2021*, All ages, , , ,"224,211","244,990", , , 
 Sydney LGA, Persons, 2016 and 2026*, 0-14, , , ,"15,404", ,"24,945", , 
 Sydney LGA, Persons, 2016 and 2026*, 15-44, , , ,"149,529", ,"157,063", , 
 Sydney LGA, Persons, 2016 and 2026*, 45-64, , , ,"40,399", ,"56,438", , 
 Sydney LGA, Persons, 2016 and 2026*, 65+, , , ,"18,879", ,"29,032", , 
 Sydney LGA, Persons, 2016 and 2026*, All ages, , , ,"224,211", ,"267,478", , 
 Sydney LGA, Persons, 2016 and 2031*, 0-14, , , ,"15,404", , ,"27,264", 
 Sydney LGA, Persons, 2016 and 2031*, 15-44, , , ,"149,529", , ,"164,831", 
 Sydney LGA, Persons, 2016 and 2031*, 45-64, , , ,"40,399", , ,"65,466", 
 Sydney LGA, Persons, 2016 and 2031*, 65+, , , ,"18,879", , ,"34,803", 
 Sydney LGA, Persons, 2016 and 2031*, All ages, , , ,"224,211", , ,"292,364", 
 Sydney LGA, Persons, 2016 and 2036*, 0-14, , , ,"15,404", , , ,"28,662"
 Sydney LGA, Persons, 2016 and 2036*, 15-44, , , ,"149,529", , , ,"172,695"
 Sydney LGA, Persons, 2016 and 2036*, 45-64, , , ,"40,399", , , ,"72,987"
 Sydney LGA, Persons, 2016 and 2036*, 65+, , , ,"18,879", , , ,"40,871"
 Sydney LGA, Persons, 2016 and 2036*, All ages, , , ,"224,211", , , ,"315,215"
 Tamworth Regional LGA, Persons, 2001 and 2016, 0-14,"11,945", , ,"12,739", , , , 
 Tamworth Regional LGA, Persons, 2001 and 2016, 15-44,"21,125", , ,"22,018", , , , 
 Tamworth Regional LGA, Persons, 2001 and 2016, 45-64,"12,983", , ,"15,282", , , , 
 Tamworth Regional LGA, Persons, 2001 and 2016, 65+,"7,504", , ,"10,959", , , , 
 Tamworth Regional LGA, Persons, 2001 and 2016, All ages,"53,557", , ,"60,998", , , , 
 Tamworth Regional LGA, Persons, 2006 and 2016, 0-14, ,"11,641", ,"12,739", , , , 
 Tamworth Regional LGA, Persons, 2006 and 2016, 15-44, ,"20,808", ,"22,018", , , , 
 Tamworth Regional LGA, Persons, 2006 and 2016, 45-64, ,"14,097", ,"15,282", , , , 
 Tamworth Regional LGA, Persons, 2006 and 2016, 65+, ,"8,341", ,"10,959", , , , 
 Tamworth Regional LGA, Persons, 2006 and 2016, All ages, ,"54,887", ,"60,998", , , , 
 Tamworth Regional LGA, Persons, 2011 and 2016, 0-14, , ,"12,176","12,739", , , , 
 Tamworth Regional LGA, Persons, 2011 and 2016, 15-44, , ,"21,180","22,018", , , , 
 Tamworth Regional LGA, Persons, 2011 and 2016, 45-64, , ,"15,175","15,282", , , , 
 Tamworth Regional LGA, Persons, 2011 and 2016, 65+, , ,"9,697","10,959", , , , 
 Tamworth Regional LGA, Persons, 2011 and 2016, All ages, , ,"58,228","60,998", , , , 
 Tamworth Regional LGA, Persons, 2016 and 2021*, 0-14, , , ,"12,739","12,749", , , 
 Tamworth Regional LGA, Persons, 2016 and 2021*, 15-44, , , ,"22,018","22,647", , , 
 Tamworth Regional LGA, Persons, 2016 and 2021*, 45-64, , , ,"15,282","15,891", , , 
 Tamworth Regional LGA, Persons, 2016 and 2021*, 65+, , , ,"10,959","12,888", , , 
 Tamworth Regional LGA, Persons, 2016 and 2021*, All ages, , , ,"60,998","64,175", , , 
 Tamworth Regional LGA, Persons, 2016 and 2026*, 0-14, , , ,"12,739", ,"12,767", , 
 Tamworth Regional LGA, Persons, 2016 and 2026*, 15-44, , , ,"22,018", ,"23,541", , 
 Tamworth Regional LGA, Persons, 2016 and 2026*, 45-64, , , ,"15,282", ,"15,694", , 
 Tamworth Regional LGA, Persons, 2016 and 2026*, 65+, , , ,"10,959", ,"14,696", , 
 Tamworth Regional LGA, Persons, 2016 and 2026*, All ages, , , ,"60,998", ,"66,699", , 
 Tamworth Regional LGA, Persons, 2016 and 2031*, 0-14, , , ,"12,739", , ,"12,927", 
 Tamworth Regional LGA, Persons, 2016 and 2031*, 15-44, , , ,"22,018", , ,"23,689", 
 Tamworth Regional LGA, Persons, 2016 and 2031*, 45-64, , , ,"15,282", , ,"16,182", 
 Tamworth Regional LGA, Persons, 2016 and 2031*, 65+, , , ,"10,959", , ,"16,188", 
 Tamworth Regional LGA, Persons, 2016 and 2031*, All ages, , , ,"60,998", , ,"68,985", 
 Tamworth Regional LGA, Persons, 2016 and 2036*, 0-14, , , ,"12,739", , , ,"13,016"
 Tamworth Regional LGA, Persons, 2016 and 2036*, 15-44, , , ,"22,018", , , ,"23,654"
 Tamworth Regional LGA, Persons, 2016 and 2036*, 45-64, , , ,"15,282", , , ,"16,931"
 Tamworth Regional LGA, Persons, 2016 and 2036*, 65+, , , ,"10,959", , , ,"17,444"
 Tamworth Regional LGA, Persons, 2016 and 2036*, All ages, , , ,"60,998", , , ,"71,045"
 Temora LGA, Persons, 2001 and 2016, 0-14,"1,468", , ,"1,221", , , , 
 Temora LGA, Persons, 2001 and 2016, 15-44,"2,235", , ,"1,880", , , , 
 Temora LGA, Persons, 2001 and 2016, 45-64,"1,462", , ,"1,707", , , , 
 Temora LGA, Persons, 2001 and 2016, 65+,"1,123", , ,"1,428", , , , 
 Temora LGA, Persons, 2001 and 2016, All ages,"6,288", , ,"6,236", , , , 
 Temora LGA, Persons, 2006 and 2016, 0-14, ,"1,260", ,"1,221", , , , 
 Temora LGA, Persons, 2006 and 2016, 15-44, ,"1,989", ,"1,880", , , , 
 Temora LGA, Persons, 2006 and 2016, 45-64, ,"1,606", ,"1,707", , , , 
 Temora LGA, Persons, 2006 and 2016, 65+, ,"1,153", ,"1,428", , , , 
 Temora LGA, Persons, 2006 and 2016, All ages, ,"6,008", ,"6,236", , , , 
 Temora LGA, Persons, 2011 and 2016, 0-14, , ,"1,213","1,221", , , , 
 Temora LGA, Persons, 2011 and 2016, 15-44, , ,"1,804","1,880", , , , 
 Temora LGA, Persons, 2011 and 2016, 45-64, , ,"1,662","1,707", , , , 
 Temora LGA, Persons, 2011 and 2016, 65+, , ,"1,274","1,428", , , , 
 Temora LGA, Persons, 2011 and 2016, All ages, , ,"5,953","6,236", , , , 
 Temora LGA, Persons, 2016 and 2021*, 0-14, , , ,"1,221",984, , , 
 Temora LGA, Persons, 2016 and 2021*, 15-44, , , ,"1,880","1,468", , , 
 Temora LGA, Persons, 2016 and 2021*, 45-64, , , ,"1,707","1,568", , , 
 Temora LGA, Persons, 2016 and 2021*, 65+, , , ,"1,428","1,685", , , 
 Temora LGA, Persons, 2016 and 2021*, All ages, , , ,"6,236","5,705", , , 
 Temora LGA, Persons, 2016 and 2026*, 0-14, , , ,"1,221", ,888, , 
 Temora LGA, Persons, 2016 and 2026*, 15-44, , , ,"1,880", ,"1,350", , 
 Temora LGA, Persons, 2016 and 2026*, 45-64, , , ,"1,707", ,"1,394", , 
 Temora LGA, Persons, 2016 and 2026*, 65+, , , ,"1,428", ,"1,901", , 
 Temora LGA, Persons, 2016 and 2026*, All ages, , , ,"6,236", ,"5,532", , 
 Temora LGA, Persons, 2016 and 2031*, 0-14, , , ,"1,221", , ,804, 
 Temora LGA, Persons, 2016 and 2031*, 15-44, , , ,"1,880", , ,"1,201", 
 Temora LGA, Persons, 2016 and 2031*, 45-64, , , ,"1,707", , ,"1,256", 
 Temora LGA, Persons, 2016 and 2031*, 65+, , , ,"1,428", , ,"2,065", 
 Temora LGA, Persons, 2016 and 2031*, All ages, , , ,"6,236", , ,"5,326", 
 Temora LGA, Persons, 2016 and 2036*, 0-14, , , ,"1,221", , , ,721
 Temora LGA, Persons, 2016 and 2036*, 15-44, , , ,"1,880", , , ,"1,046"
 Temora LGA, Persons, 2016 and 2036*, 45-64, , , ,"1,707", , , ,"1,176"
 Temora LGA, Persons, 2016 and 2036*, 65+, , , ,"1,428", , , ,"2,146"
 Temora LGA, Persons, 2016 and 2036*, All ages, , , ,"6,236", , , ,"5,090"
 Tenterfield LGA, Persons, 2001 and 2016, 0-14,"1,437", , ,"1,088", , , , 
 Tenterfield LGA, Persons, 2001 and 2016, 15-44,"2,365", , ,"1,729", , , , 
 Tenterfield LGA, Persons, 2001 and 2016, 45-64,"1,882", , ,"2,099", , , , 
 Tenterfield LGA, Persons, 2001 and 2016, 65+,"1,158", , ,"1,751", , , , 
 Tenterfield LGA, Persons, 2001 and 2016, All ages,"6,842", , ,"6,667", , , , 
 Tenterfield LGA, Persons, 2006 and 2016, 0-14, ,"1,339", ,"1,088", , , , 
 Tenterfield LGA, Persons, 2006 and 2016, 15-44, ,"2,055", ,"1,729", , , , 
 Tenterfield LGA, Persons, 2006 and 2016, 45-64, ,"2,065", ,"2,099", , , , 
 Tenterfield LGA, Persons, 2006 and 2016, 65+, ,"1,207", ,"1,751", , , , 
 Tenterfield LGA, Persons, 2006 and 2016, All ages, ,"6,666", ,"6,667", , , , 
 Tenterfield LGA, Persons, 2011 and 2016, 0-14, , ,"1,358","1,088", , , , 
 Tenterfield LGA, Persons, 2011 and 2016, 15-44, , ,"1,966","1,729", , , , 
 Tenterfield LGA, Persons, 2011 and 2016, 45-64, , ,"2,212","2,099", , , , 
 Tenterfield LGA, Persons, 2011 and 2016, 65+, , ,"1,454","1,751", , , , 
 Tenterfield LGA, Persons, 2011 and 2016, All ages, , ,"6,990","6,667", , , , 
 Tenterfield LGA, Persons, 2016 and 2021*, 0-14, , , ,"1,088","1,251", , , 
 Tenterfield LGA, Persons, 2016 and 2021*, 15-44, , , ,"1,729","1,793", , , 
 Tenterfield LGA, Persons, 2016 and 2021*, 45-64, , , ,"2,099","2,129", , , 
 Tenterfield LGA, Persons, 2016 and 2021*, 65+, , , ,"1,751","2,067", , , 
 Tenterfield LGA, Persons, 2016 and 2021*, All ages, , , ,"6,667","7,240", , , 
 Tenterfield LGA, Persons, 2016 and 2026*, 0-14, , , ,"1,088", ,"1,194", , 
 Tenterfield LGA, Persons, 2016 and 2026*, 15-44, , , ,"1,729", ,"1,735", , 
 Tenterfield LGA, Persons, 2016 and 2026*, 45-64, , , ,"2,099", ,"1,993", , 
 Tenterfield LGA, Persons, 2016 and 2026*, 65+, , , ,"1,751", ,"2,342", , 
 Tenterfield LGA, Persons, 2016 and 2026*, All ages, , , ,"6,667", ,"7,264", , 
 Tenterfield LGA, Persons, 2016 and 2031*, 0-14, , , ,"1,088", , ,"1,147", 
 Tenterfield LGA, Persons, 2016 and 2031*, 15-44, , , ,"1,729", , ,"1,645", 
 Tenterfield LGA, Persons, 2016 and 2031*, 45-64, , , ,"2,099", , ,"1,953", 
 Tenterfield LGA, Persons, 2016 and 2031*, 65+, , , ,"1,751", , ,"2,488", 
 Tenterfield LGA, Persons, 2016 and 2031*, All ages, , , ,"6,667", , ,"7,233", 
 Tenterfield LGA, Persons, 2016 and 2036*, 0-14, , , ,"1,088", , , ,"1,095"
 Tenterfield LGA, Persons, 2016 and 2036*, 15-44, , , ,"1,729", , , ,"1,538"
 Tenterfield LGA, Persons, 2016 and 2036*, 45-64, , , ,"2,099", , , ,"1,927"
 Tenterfield LGA, Persons, 2016 and 2036*, 65+, , , ,"1,751", , , ,"2,588"
 Tenterfield LGA, Persons, 2016 and 2036*, All ages, , , ,"6,667", , , ,"7,148"
 The Hills Shire LGA, Persons, 2001 and 2016, 0-14,"25,361", , ,"35,153", , , , 
 The Hills Shire LGA, Persons, 2001 and 2016, 15-44,"51,485", , ,"64,395", , , , 
 The Hills Shire LGA, Persons, 2001 and 2016, 45-64,"31,542", , ,"41,747", , , , 
 The Hills Shire LGA, Persons, 2001 and 2016, 65+,"8,913", , ,"21,244", , , , 
 The Hills Shire LGA, Persons, 2001 and 2016, All ages,"117,301", , ,"162,539", , , , 
 The Hills Shire LGA, Persons, 2006 and 2016, 0-14, ,"29,499", ,"35,153", , , , 
 The Hills Shire LGA, Persons, 2006 and 2016, 15-44, ,"58,335", ,"64,395", , , , 
 The Hills Shire LGA, Persons, 2006 and 2016, 45-64, ,"36,796", ,"41,747", , , , 
 The Hills Shire LGA, Persons, 2006 and 2016, 65+, ,"11,385", ,"21,244", , , , 
 The Hills Shire LGA, Persons, 2006 and 2016, All ages, ,"136,015", ,"162,539", , , , 
 The Hills Shire LGA, Persons, 2011 and 2016, 0-14, , ,"31,384","35,153", , , , 
 The Hills Shire LGA, Persons, 2011 and 2016, 15-44, , ,"59,950","64,395", , , , 
 The Hills Shire LGA, Persons, 2011 and 2016, 45-64, , ,"40,287","41,747", , , , 
 The Hills Shire LGA, Persons, 2011 and 2016, 65+, , ,"16,158","21,244", , , , 
 The Hills Shire LGA, Persons, 2011 and 2016, All ages, , ,"147,779","162,539", , , , 
 The Hills Shire LGA, Persons, 2016 and 2021*, 0-14, , , ,"35,153","37,975", , , 
 The Hills Shire LGA, Persons, 2016 and 2021*, 15-44, , , ,"64,395","70,459", , , 
 The Hills Shire LGA, Persons, 2016 and 2021*, 45-64, , , ,"41,747","49,767", , , 
 The Hills Shire LGA, Persons, 2016 and 2021*, 65+, , , ,"21,244","29,434", , , 
 The Hills Shire LGA, Persons, 2016 and 2021*, All ages, , , ,"162,539","187,635", , , 
 The Hills Shire LGA, Persons, 2016 and 2026*, 0-14, , , ,"35,153", ,"44,768", , 
 The Hills Shire LGA, Persons, 2016 and 2026*, 15-44, , , ,"64,395", ,"85,596", , 
 The Hills Shire LGA, Persons, 2016 and 2026*, 45-64, , , ,"41,747", ,"57,030", , 
 The Hills Shire LGA, Persons, 2016 and 2026*, 65+, , , ,"21,244", ,"37,778", , 
 The Hills Shire LGA, Persons, 2016 and 2026*, All ages, , , ,"162,539", ,"225,171", , 
 The Hills Shire LGA, Persons, 2016 and 2031*, 0-14, , , ,"35,153", , ,"50,577", 
 The Hills Shire LGA, Persons, 2016 and 2031*, 15-44, , , ,"64,395", , ,"96,183", 
 The Hills Shire LGA, Persons, 2016 and 2031*, 45-64, , , ,"41,747", , ,"64,681", 
 The Hills Shire LGA, Persons, 2016 and 2031*, 65+, , , ,"21,244", , ,"45,441", 
 The Hills Shire LGA, Persons, 2016 and 2031*, All ages, , , ,"162,539", , ,"256,882", 
 The Hills Shire LGA, Persons, 2016 and 2036*, 0-14, , , ,"35,153", , , ,"56,453"
 The Hills Shire LGA, Persons, 2016 and 2036*, 15-44, , , ,"64,395", , , ,"107,017"
 The Hills Shire LGA, Persons, 2016 and 2036*, 45-64, , , ,"41,747", , , ,"73,728"
 The Hills Shire LGA, Persons, 2016 and 2036*, 65+, , , ,"21,244", , , ,"53,696"
 The Hills Shire LGA, Persons, 2016 and 2036*, All ages, , , ,"162,539", , , ,"290,894"
 Tweed LGA, Persons, 2001 and 2016, 0-14,"14,521", , ,"16,061", , , , 
 Tweed LGA, Persons, 2001 and 2016, 15-44,"25,315", , ,"28,973", , , , 
 Tweed LGA, Persons, 2001 and 2016, 45-64,"18,315", , ,"25,652", , , , 
 Tweed LGA, Persons, 2001 and 2016, 65+,"15,829", , ,"22,772", , , , 
 Tweed LGA, Persons, 2001 and 2016, All ages,"73,980", , ,"93,458", , , , 
 Tweed LGA, Persons, 2006 and 2016, 0-14, ,"14,931", ,"16,061", , , , 
 Tweed LGA, Persons, 2006 and 2016, 15-44, ,"26,978", ,"28,973", , , , 
 Tweed LGA, Persons, 2006 and 2016, 45-64, ,"21,917", ,"25,652", , , , 
 Tweed LGA, Persons, 2006 and 2016, 65+, ,"17,705", ,"22,772", , , , 
 Tweed LGA, Persons, 2006 and 2016, All ages, ,"81,531", ,"93,458", , , , 
 Tweed LGA, Persons, 2011 and 2016, 0-14, , ,"15,667","16,061", , , , 
 Tweed LGA, Persons, 2011 and 2016, 15-44, , ,"28,326","28,973", , , , 
 Tweed LGA, Persons, 2011 and 2016, 45-64, , ,"24,500","25,652", , , , 
 Tweed LGA, Persons, 2011 and 2016, 65+, , ,"19,944","22,772", , , , 
 Tweed LGA, Persons, 2011 and 2016, All ages, , ,"88,437","93,458", , , , 
 Tweed LGA, Persons, 2016 and 2021*, 0-14, , , ,"16,061","17,191", , , 
 Tweed LGA, Persons, 2016 and 2021*, 15-44, , , ,"28,973","30,525", , , 
 Tweed LGA, Persons, 2016 and 2021*, 45-64, , , ,"25,652","26,650", , , 
 Tweed LGA, Persons, 2016 and 2021*, 65+, , , ,"22,772","25,651", , , 
 Tweed LGA, Persons, 2016 and 2021*, All ages, , , ,"93,458","100,017", , , 
 Tweed LGA, Persons, 2016 and 2026*, 0-14, , , ,"16,061", ,"17,756", , 
 Tweed LGA, Persons, 2016 and 2026*, 15-44, , , ,"28,973", ,"31,819", , 
 Tweed LGA, Persons, 2016 and 2026*, 45-64, , , ,"25,652", ,"26,355", , 
 Tweed LGA, Persons, 2016 and 2026*, 65+, , , ,"22,772", ,"29,497", , 
 Tweed LGA, Persons, 2016 and 2026*, All ages, , , ,"93,458", ,"105,428", , 
 Tweed LGA, Persons, 2016 and 2031*, 0-14, , , ,"16,061", , ,"18,201", 
 Tweed LGA, Persons, 2016 and 2031*, 15-44, , , ,"28,973", , ,"32,369", 
 Tweed LGA, Persons, 2016 and 2031*, 45-64, , , ,"25,652", , ,"27,115", 
 Tweed LGA, Persons, 2016 and 2031*, 65+, , , ,"22,772", , ,"32,896", 
 Tweed LGA, Persons, 2016 and 2031*, All ages, , , ,"93,458", , ,"110,582", 
 Tweed LGA, Persons, 2016 and 2036*, 0-14, , , ,"16,061", , , ,"18,503"
 Tweed LGA, Persons, 2016 and 2036*, 15-44, , , ,"28,973", , , ,"32,664"
 Tweed LGA, Persons, 2016 and 2036*, 45-64, , , ,"25,652", , , ,"28,250"
 Tweed LGA, Persons, 2016 and 2036*, 65+, , , ,"22,772", , , ,"35,931"
 Tweed LGA, Persons, 2016 and 2036*, All ages, , , ,"93,458", , , ,"115,348"
 Upper Hunter Shire LGA, Persons, 2001 and 2016, 0-14,"2,895", , ,"3,036", , , , 
 Upper Hunter Shire LGA, Persons, 2001 and 2016, 15-44,"5,282", , ,"5,101", , , , 
 Upper Hunter Shire LGA, Persons, 2001 and 2016, 45-64,"3,381", , ,"3,723", , , , 
 Upper Hunter Shire LGA, Persons, 2001 and 2016, 65+,"1,872", , ,"2,549", , , , 
 Upper Hunter Shire LGA, Persons, 2001 and 2016, All ages,"13,430", , ,"14,409", , , , 
 Upper Hunter Shire LGA, Persons, 2006 and 2016, 0-14, ,"2,689", ,"3,036", , , , 
 Upper Hunter Shire LGA, Persons, 2006 and 2016, 15-44, ,"5,071", ,"5,101", , , , 
 Upper Hunter Shire LGA, Persons, 2006 and 2016, 45-64, ,"3,553", ,"3,723", , , , 
 Upper Hunter Shire LGA, Persons, 2006 and 2016, 65+, ,"2,020", ,"2,549", , , , 
 Upper Hunter Shire LGA, Persons, 2006 and 2016, All ages, ,"13,333", ,"14,409", , , , 
 Upper Hunter Shire LGA, Persons, 2011 and 2016, 0-14, , ,"2,969","3,036", , , , 
 Upper Hunter Shire LGA, Persons, 2011 and 2016, 15-44, , ,"5,251","5,101", , , , 
 Upper Hunter Shire LGA, Persons, 2011 and 2016, 45-64, , ,"3,716","3,723", , , , 
 Upper Hunter Shire LGA, Persons, 2011 and 2016, 65+, , ,"2,270","2,549", , , , 
 Upper Hunter Shire LGA, Persons, 2011 and 2016, All ages, , ,"14,206","14,409", , , , 
 Upper Hunter Shire LGA, Persons, 2016 and 2021*, 0-14, , , ,"3,036","3,070", , , 
 Upper Hunter Shire LGA, Persons, 2016 and 2021*, 15-44, , , ,"5,101","5,345", , , 
 Upper Hunter Shire LGA, Persons, 2016 and 2021*, 45-64, , , ,"3,723","3,761", , , 
 Upper Hunter Shire LGA, Persons, 2016 and 2021*, 65+, , , ,"2,549","3,009", , , 
 Upper Hunter Shire LGA, Persons, 2016 and 2021*, All ages, , , ,"14,409","15,184", , , 
 Upper Hunter Shire LGA, Persons, 2016 and 2026*, 0-14, , , ,"3,036", ,"3,066", , 
 Upper Hunter Shire LGA, Persons, 2016 and 2026*, 15-44, , , ,"5,101", ,"5,414", , 
 Upper Hunter Shire LGA, Persons, 2016 and 2026*, 45-64, , , ,"3,723", ,"3,697", , 
 Upper Hunter Shire LGA, Persons, 2016 and 2026*, 65+, , , ,"2,549", ,"3,399", , 
 Upper Hunter Shire LGA, Persons, 2016 and 2026*, All ages, , , ,"14,409", ,"15,576", , 
 Upper Hunter Shire LGA, Persons, 2016 and 2031*, 0-14, , , ,"3,036", , ,"3,046", 
 Upper Hunter Shire LGA, Persons, 2016 and 2031*, 15-44, , , ,"5,101", , ,"5,369", 
 Upper Hunter Shire LGA, Persons, 2016 and 2031*, 45-64, , , ,"3,723", , ,"3,788", 
 Upper Hunter Shire LGA, Persons, 2016 and 2031*, 65+, , , ,"2,549", , ,"3,705", 
 Upper Hunter Shire LGA, Persons, 2016 and 2031*, All ages, , , ,"14,409", , ,"15,908", 
 Upper Hunter Shire LGA, Persons, 2016 and 2036*, 0-14, , , ,"3,036", , , ,"3,026"
 Upper Hunter Shire LGA, Persons, 2016 and 2036*, 15-44, , , ,"5,101", , , ,"5,292"
 Upper Hunter Shire LGA, Persons, 2016 and 2036*, 45-64, , , ,"3,723", , , ,"3,930"
 Upper Hunter Shire LGA, Persons, 2016 and 2036*, 65+, , , ,"2,549", , , ,"3,936"
 Upper Hunter Shire LGA, Persons, 2016 and 2036*, All ages, , , ,"14,409", , , ,"16,184"
 Upper Lachlan Shire LGA, Persons, 2001 and 2016, 0-14,"1,564", , ,"1,452", , , , 
 Upper Lachlan Shire LGA, Persons, 2001 and 2016, 15-44,"2,417", , ,"2,127", , , , 
 Upper Lachlan Shire LGA, Persons, 2001 and 2016, 45-64,"2,048", , ,"2,426", , , , 
 Upper Lachlan Shire LGA, Persons, 2001 and 2016, 65+,"1,181", , ,"1,836", , , , 
 Upper Lachlan Shire LGA, Persons, 2001 and 2016, All ages,"7,210", , ,"7,841", , , , 
 Upper Lachlan Shire LGA, Persons, 2006 and 2016, 0-14, ,"1,440", ,"1,452", , , , 
 Upper Lachlan Shire LGA, Persons, 2006 and 2016, 15-44, ,"2,319", ,"2,127", , , , 
 Upper Lachlan Shire LGA, Persons, 2006 and 2016, 45-64, ,"2,183", ,"2,426", , , , 
 Upper Lachlan Shire LGA, Persons, 2006 and 2016, 65+, ,"1,267", ,"1,836", , , , 
 Upper Lachlan Shire LGA, Persons, 2006 and 2016, All ages, ,"7,209", ,"7,841", , , , 
 Upper Lachlan Shire LGA, Persons, 2011 and 2016, 0-14, , ,"1,396","1,452", , , , 
 Upper Lachlan Shire LGA, Persons, 2011 and 2016, 15-44, , ,"2,153","2,127", , , , 
 Upper Lachlan Shire LGA, Persons, 2011 and 2016, 45-64, , ,"2,291","2,426", , , , 
 Upper Lachlan Shire LGA, Persons, 2011 and 2016, 65+, , ,"1,582","1,836", , , , 
 Upper Lachlan Shire LGA, Persons, 2011 and 2016, All ages, , ,"7,422","7,841", , , , 
 Upper Lachlan Shire LGA, Persons, 2016 and 2021*, 0-14, , , ,"1,452","1,385", , , 
 Upper Lachlan Shire LGA, Persons, 2016 and 2021*, 15-44, , , ,"2,127","1,910", , , 
 Upper Lachlan Shire LGA, Persons, 2016 and 2021*, 45-64, , , ,"2,426","2,269", , , 
 Upper Lachlan Shire LGA, Persons, 2016 and 2021*, 65+, , , ,"1,836","1,956", , , 
 Upper Lachlan Shire LGA, Persons, 2016 and 2021*, All ages, , , ,"7,841","7,519", , , 
 Upper Lachlan Shire LGA, Persons, 2016 and 2026*, 0-14, , , ,"1,452", ,"1,369", , 
 Upper Lachlan Shire LGA, Persons, 2016 and 2026*, 15-44, , , ,"2,127", ,"1,863", , 
 Upper Lachlan Shire LGA, Persons, 2016 and 2026*, 45-64, , , ,"2,426", ,"2,108", , 
 Upper Lachlan Shire LGA, Persons, 2016 and 2026*, 65+, , , ,"1,836", ,"2,178", , 
 Upper Lachlan Shire LGA, Persons, 2016 and 2026*, All ages, , , ,"7,841", ,"7,518", , 
 Upper Lachlan Shire LGA, Persons, 2016 and 2031*, 0-14, , , ,"1,452", , ,"1,318", 
