"Population projections by age groups, Local Government Area and year ",,,,,,,,,,,
,,,,,,,,,,,
  ,  ,  ,  , Population, Population, Population, Population, Population, Population, Population, Population
 Balranald LGA, Persons, 2016 and 2031*, All ages, , , ,"2,310", , ,"2,114", 
 Balranald LGA, Persons, 2016 and 2036*, 0-14, , , ,512, , , ,364
 Balranald LGA, Persons, 2016 and 2036*, 15-44, , , ,834, , , ,601
 Balranald LGA, Persons, 2016 and 2036*, 45-64, , , ,631, , , ,524
 Balranald LGA, Persons, 2016 and 2036*, 65+, , , ,333, , , ,591
 Balranald LGA, Persons, 2016 and 2036*, All ages, , , ,"2,310", , , ,"2,080"
 Bathurst Regional LGA, Persons, 2001 and 2016, 0-14,"7,670", , ,"8,559", , , , 
 Bathurst Regional LGA, Persons, 2001 and 2016, 15-44,"15,965", , ,"16,961", , , , 
 Bathurst Regional LGA, Persons, 2001 and 2016, 45-64,"7,817", , ,"10,210", , , , 
 Bathurst Regional LGA, Persons, 2001 and 2016, 65+,"4,052", , ,"6,659", , , , 
 Bathurst Regional LGA, Persons, 2001 and 2016, All ages,"35,504", , ,"42,389", , , , 
 Bathurst Regional LGA, Persons, 2006 and 2016, 0-14, ,"7,486", ,"8,559", , , , 
 Bathurst Regional LGA, Persons, 2006 and 2016, 15-44, ,"16,101", ,"16,961", , , , 
 Bathurst Regional LGA, Persons, 2006 and 2016, 45-64, ,"8,867", ,"10,210", , , , 
 Bathurst Regional LGA, Persons, 2006 and 2016, 65+, ,"4,462", ,"6,659", , , , 
 Bathurst Regional LGA, Persons, 2006 and 2016, All ages, ,"36,916", ,"42,389", , , , 
 Bathurst Regional LGA, Persons, 2011 and 2016, 0-14, , ,"8,204","8,559", , , , 
 Bathurst Regional LGA, Persons, 2011 and 2016, 15-44, , ,"16,549","16,961", , , , 
 Bathurst Regional LGA, Persons, 2011 and 2016, 45-64, , ,"9,739","10,210", , , , 
 Bathurst Regional LGA, Persons, 2011 and 2016, 65+, , ,"5,468","6,659", , , , 
 Bathurst Regional LGA, Persons, 2011 and 2016, All ages, , ,"39,960","42,389", , , , 
 Bathurst Regional LGA, Persons, 2016 and 2021*, 0-14, , , ,"8,559","8,878", , , 
 Bathurst Regional LGA, Persons, 2016 and 2021*, 15-44, , , ,"16,961","18,767", , , 
 Bathurst Regional LGA, Persons, 2016 and 2021*, 45-64, , , ,"10,210","10,708", , , 
 Bathurst Regional LGA, Persons, 2016 and 2021*, 65+, , , ,"6,659","8,124", , , 
 Bathurst Regional LGA, Persons, 2016 and 2021*, All ages, , , ,"42,389","46,476", , , 
 Bathurst Regional LGA, Persons, 2016 and 2026*, 0-14, , , ,"8,559", ,"9,244", , 
 Bathurst Regional LGA, Persons, 2016 and 2026*, 15-44, , , ,"16,961", ,"19,855", , 
 Bathurst Regional LGA, Persons, 2016 and 2026*, 45-64, , , ,"10,210", ,"10,852", , 
 Bathurst Regional LGA, Persons, 2016 and 2026*, 65+, , , ,"6,659", ,"9,592", , 
 Bathurst Regional LGA, Persons, 2016 and 2026*, All ages, , , ,"42,389", ,"49,543", , 
 Bathurst Regional LGA, Persons, 2016 and 2031*, 0-14, , , ,"8,559", , ,"9,672", 
 Bathurst Regional LGA, Persons, 2016 and 2031*, 15-44, , , ,"16,961", , ,"20,480", 
 Bathurst Regional LGA, Persons, 2016 and 2031*, 45-64, , , ,"10,210", , ,"11,391", 
 Bathurst Regional LGA, Persons, 2016 and 2031*, 65+, , , ,"6,659", , ,"10,938", 
 Bathurst Regional LGA, Persons, 2016 and 2031*, All ages, , , ,"42,389", , ,"52,481", 
 Bathurst Regional LGA, Persons, 2016 and 2036*, 0-14, , , ,"8,559", , , ,"10,000"
 Bathurst Regional LGA, Persons, 2016 and 2036*, 15-44, , , ,"16,961", , , ,"20,911"
 Bathurst Regional LGA, Persons, 2016 and 2036*, 45-64, , , ,"10,210", , , ,"12,195"
 Bathurst Regional LGA, Persons, 2016 and 2036*, 65+, , , ,"6,659", , , ,"12,136"
 Bathurst Regional LGA, Persons, 2016 and 2036*, All ages, , , ,"42,389", , , ,"55,243"
 Bega Valley LGA, Persons, 2001 and 2016, 0-14,"6,522", , ,"5,498", , , , 
 Bega Valley LGA, Persons, 2001 and 2016, 15-44,"10,351", , ,"9,129", , , , 
 Bega Valley LGA, Persons, 2001 and 2016, 45-64,"8,327", , ,"10,828", , , , 
 Bega Valley LGA, Persons, 2001 and 2016, 65+,"5,225", , ,"8,491", , , , 
 Bega Valley LGA, Persons, 2001 and 2016, All ages,"30,425", , ,"33,946", , , , 
 Bega Valley LGA, Persons, 2006 and 2016, 0-14, ,"6,207", ,"5,498", , , , 
 Bega Valley LGA, Persons, 2006 and 2016, 15-44, ,"9,914", ,"9,129", , , , 
 Bega Valley LGA, Persons, 2006 and 2016, 45-64, ,"9,921", ,"10,828", , , , 
 Bega Valley LGA, Persons, 2006 and 2016, 65+, ,"5,787", ,"8,491", , , , 
 Bega Valley LGA, Persons, 2006 and 2016, All ages, ,"31,829", ,"33,946", , , , 
 Bega Valley LGA, Persons, 2011 and 2016, 0-14, , ,"5,783","5,498", , , , 
 Bega Valley LGA, Persons, 2011 and 2016, 15-44, , ,"9,502","9,129", , , , 
 Bega Valley LGA, Persons, 2011 and 2016, 45-64, , ,"10,806","10,828", , , , 
 Bega Valley LGA, Persons, 2011 and 2016, 65+, , ,"7,037","8,491", , , , 
 Bega Valley LGA, Persons, 2011 and 2016, All ages, , ,"33,128","33,946", , , , 
 Bega Valley LGA, Persons, 2016 and 2021*, 0-14, , , ,"5,498","5,653", , , 
 Bega Valley LGA, Persons, 2016 and 2021*, 15-44, , , ,"9,129","8,908", , , 
 Bega Valley LGA, Persons, 2016 and 2021*, 45-64, , , ,"10,828","10,539", , , 
 Bega Valley LGA, Persons, 2016 and 2021*, 65+, , , ,"8,491","9,793", , , 
 Bega Valley LGA, Persons, 2016 and 2021*, All ages, , , ,"33,946","34,893", , , 
 Bega Valley LGA, Persons, 2016 and 2026*, 0-14, , , ,"5,498", ,"5,557", , 
 Bega Valley LGA, Persons, 2016 and 2026*, 15-44, , , ,"9,129", ,"8,872", , 
 Bega Valley LGA, Persons, 2016 and 2026*, 45-64, , , ,"10,828", ,"9,907", , 
 Bega Valley LGA, Persons, 2016 and 2026*, 65+, , , ,"8,491", ,"11,308", , 
 Bega Valley LGA, Persons, 2016 and 2026*, All ages, , , ,"33,946", ,"35,644", , 
 Bega Valley LGA, Persons, 2016 and 2031*, 0-14, , , ,"5,498", , ,"5,467", 
 Bega Valley LGA, Persons, 2016 and 2031*, 15-44, , , ,"9,129", , ,"8,605", 
 Bega Valley LGA, Persons, 2016 and 2031*, 45-64, , , ,"10,828", , ,"9,841", 
 Bega Valley LGA, Persons, 2016 and 2031*, 65+, , , ,"8,491", , ,"12,316", 
 Bega Valley LGA, Persons, 2016 and 2031*, All ages, , , ,"33,946", , ,"36,229", 
 Bega Valley LGA, Persons, 2016 and 2036*, 0-14, , , ,"5,498", , , ,"5,349"
 Bega Valley LGA, Persons, 2016 and 2036*, 15-44, , , ,"9,129", , , ,"8,322"
 Bega Valley LGA, Persons, 2016 and 2036*, 45-64, , , ,"10,828", , , ,"9,913"
 Bega Valley LGA, Persons, 2016 and 2036*, 65+, , , ,"8,491", , , ,"13,052"
 Bega Valley LGA, Persons, 2016 and 2036*, All ages, , , ,"33,946", , , ,"36,636"
 Bellingen LGA, Persons, 2001 and 2016, 0-14,"2,857", , ,"2,294", , , , 
 Bellingen LGA, Persons, 2001 and 2016, 15-44,"4,318", , ,"3,546", , , , 
 Bellingen LGA, Persons, 2001 and 2016, 45-64,"3,361", , ,"4,074", , , , 
 Bellingen LGA, Persons, 2001 and 2016, 65+,"2,098", , ,"2,979", , , , 
 Bellingen LGA, Persons, 2001 and 2016, All ages,"12,634", , ,"12,893", , , , 
 Bellingen LGA, Persons, 2006 and 2016, 0-14, ,"2,555", ,"2,294", , , , 
 Bellingen LGA, Persons, 2006 and 2016, 15-44, ,"3,924", ,"3,546", , , , 
 Bellingen LGA, Persons, 2006 and 2016, 45-64, ,"3,969", ,"4,074", , , , 
 Bellingen LGA, Persons, 2006 and 2016, 65+, ,"2,268", ,"2,979", , , , 
 Bellingen LGA, Persons, 2006 and 2016, All ages, ,"12,716", ,"12,893", , , , 
 Bellingen LGA, Persons, 2011 and 2016, 0-14, , ,"2,487","2,294", , , , 
 Bellingen LGA, Persons, 2011 and 2016, 15-44, , ,"3,768","3,546", , , , 
 Bellingen LGA, Persons, 2011 and 2016, 45-64, , ,"4,158","4,074", , , , 
 Bellingen LGA, Persons, 2011 and 2016, 65+, , ,"2,510","2,979", , , , 
 Bellingen LGA, Persons, 2011 and 2016, All ages, , ,"12,923","12,893", , , , 
 Bellingen LGA, Persons, 2016 and 2021*, 0-14, , , ,"2,294","2,395", , , 
 Bellingen LGA, Persons, 2016 and 2021*, 15-44, , , ,"3,546","3,448", , , 
 Bellingen LGA, Persons, 2016 and 2021*, 45-64, , , ,"4,074","3,923", , , 
 Bellingen LGA, Persons, 2016 and 2021*, 65+, , , ,"2,979","3,350", , , 
 Bellingen LGA, Persons, 2016 and 2021*, All ages, , , ,"12,893","13,116", , , 
 Bellingen LGA, Persons, 2016 and 2026*, 0-14, , , ,"2,294", ,"2,353", , 
 Bellingen LGA, Persons, 2016 and 2026*, 15-44, , , ,"3,546", ,"3,352", , 
 Bellingen LGA, Persons, 2016 and 2026*, 45-64, , , ,"4,074", ,"3,601", , 
 Bellingen LGA, Persons, 2016 and 2026*, 65+, , , ,"2,979", ,"3,796", , 
 Bellingen LGA, Persons, 2016 and 2026*, All ages, , , ,"12,893", ,"13,102", , 
 Bellingen LGA, Persons, 2016 and 2031*, 0-14, , , ,"2,294", , ,"2,258", 
 Bellingen LGA, Persons, 2016 and 2031*, 15-44, , , ,"3,546", , ,"3,202", 
 Bellingen LGA, Persons, 2016 and 2031*, 45-64, , , ,"4,074", , ,"3,497", 
 Bellingen LGA, Persons, 2016 and 2031*, 65+, , , ,"2,979", , ,"4,062", 
 Bellingen LGA, Persons, 2016 and 2031*, All ages, , , ,"12,893", , ,"13,019", 
 Bellingen LGA, Persons, 2016 and 2036*, 0-14, , , ,"2,294", , , ,"2,162"
 Bellingen LGA, Persons, 2016 and 2036*, 15-44, , , ,"3,546", , , ,"3,029"
 Bellingen LGA, Persons, 2016 and 2036*, 45-64, , , ,"4,074", , , ,"3,488"
 Bellingen LGA, Persons, 2016 and 2036*, 65+, , , ,"2,979", , , ,"4,194"
 Bellingen LGA, Persons, 2016 and 2036*, All ages, , , ,"12,893", , , ,"12,872"
 Berrigan LGA, Persons, 2001 and 2016, 0-14,"1,642", , ,"1,488", , , , 
 Berrigan LGA, Persons, 2001 and 2016, 15-44,"2,764", , ,"2,475", , , , 
 Berrigan LGA, Persons, 2001 and 2016, 45-64,"2,123", , ,"2,225", , , , 
 Berrigan LGA, Persons, 2001 and 2016, 65+,"1,546", , ,"2,384", , , , 
 Berrigan LGA, Persons, 2001 and 2016, All ages,"8,075", , ,"8,572", , , , 
 Berrigan LGA, Persons, 2006 and 2016, 0-14, ,"1,593", ,"1,488", , , , 
 Berrigan LGA, Persons, 2006 and 2016, 15-44, ,"2,497", ,"2,475", , , , 
 Berrigan LGA, Persons, 2006 and 2016, 45-64, ,"2,342", ,"2,225", , , , 
 Berrigan LGA, Persons, 2006 and 2016, 65+, ,"1,728", ,"2,384", , , , 
 Berrigan LGA, Persons, 2006 and 2016, All ages, ,"8,160", ,"8,572", , , , 
 Berrigan LGA, Persons, 2011 and 2016, 0-14, , ,"1,463","1,488", , , , 
 Berrigan LGA, Persons, 2011 and 2016, 15-44, , ,"2,419","2,475", , , , 
 Berrigan LGA, Persons, 2011 and 2016, 45-64, , ,"2,357","2,225", , , , 
 Berrigan LGA, Persons, 2011 and 2016, 65+, , ,"2,058","2,384", , , , 
 Berrigan LGA, Persons, 2011 and 2016, All ages, , ,"8,297","8,572", , , , 
 Berrigan LGA, Persons, 2016 and 2021*, 0-14, , , ,"1,488","1,293", , , 
 Berrigan LGA, Persons, 2016 and 2021*, 15-44, , , ,"2,475","2,110", , , 
 Berrigan LGA, Persons, 2016 and 2021*, 45-64, , , ,"2,225","2,281", , , 
 Berrigan LGA, Persons, 2016 and 2021*, 65+, , , ,"2,384","2,659", , , 
 Berrigan LGA, Persons, 2016 and 2021*, All ages, , , ,"8,572","8,343", , , 
 Berrigan LGA, Persons, 2016 and 2026*, 0-14, , , ,"1,488", ,"1,181", , 
 Berrigan LGA, Persons, 2016 and 2026*, 15-44, , , ,"2,475", ,"1,975", , 
 Berrigan LGA, Persons, 2016 and 2026*, 45-64, , , ,"2,225", ,"2,140", , 
 Berrigan LGA, Persons, 2016 and 2026*, 65+, , , ,"2,384", ,"2,920", , 
 Berrigan LGA, Persons, 2016 and 2026*, All ages, , , ,"8,572", ,"8,216", , 
 Berrigan LGA, Persons, 2016 and 2031*, 0-14, , , ,"1,488", , ,"1,083", 
 Berrigan LGA, Persons, 2016 and 2031*, 15-44, , , ,"2,475", , ,"1,790", 
 Berrigan LGA, Persons, 2016 and 2031*, 45-64, , , ,"2,225", , ,"2,079", 
 Berrigan LGA, Persons, 2016 and 2031*, 65+, , , ,"2,384", , ,"3,071", 
 Berrigan LGA, Persons, 2016 and 2031*, All ages, , , ,"8,572", , ,"8,024", 
 Berrigan LGA, Persons, 2016 and 2036*, 0-14, , , ,"1,488", , , ,991
 Berrigan LGA, Persons, 2016 and 2036*, 15-44, , , ,"2,475", , , ,"1,615"
 Berrigan LGA, Persons, 2016 and 2036*, 45-64, , , ,"2,225", , , ,"2,013"
 Berrigan LGA, Persons, 2016 and 2036*, 65+, , , ,"2,384", , , ,"3,160"
 Berrigan LGA, Persons, 2016 and 2036*, All ages, , , ,"8,572", , , ,"7,779"
 Blacktown LGA, Persons, 2001 and 2016, 0-14,"65,773", , ,"79,743", , , , 
 Blacktown LGA, Persons, 2001 and 2016, 15-44,"123,071", , ,"156,434", , , , 
